snsint2,intfreq,smart2,device1b,device1c,web1a,web1b,web1c,web1d,web1e,pial5a,pial5b,pial5c,pial11,pial12,books1,books2a,books2b,books2c,Age,sex,marital,educ2,emplnw,party
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3,1,2,2,62,2,1,6,1,1
1,2,1,1,1,1,1,1,0,1,2,1,2,1,1,5,1,2,1,61,2,1,4,3,4
1,1,1,1,1,1,1,1,0,1,2,1,1,3,1,3,1,2,2,57,2,1,5,4,1
1,3,1,1,1,0,0,1,0,1,2,1,3,3,3,12,1,1,1,55,2,1,8,4,2
1,1,1,1,1,0,0,1,0,1,3,1,2,1,1,10,1,2,1,50,2,3,5,1,2
1,2,1,1,1,1,1,1,1,1,1,1,2,3,3,2,1,2,2,49,2,1,6,1,1
1,2,1,2,1,0,0,1,0,1,4,1,2,3,1,25,1,2,1,48,2,3,8,1,2
1,2,1,1,1,1,1,1,0,1,6,1,3,3,1,15,1,1,1,48,2,6,8,2,2
1,1,1,1,1,1,1,1,0,1,3,5,3,3,1,40,1,1,1,45,2,1,7,1,2
1,1,1,2,1,0,1,1,0,1,2,2,2,3,3,8,2,1,1,44,2,1,6,1,2
1,1,1,1,1,1,1,1,0,1,6,5,1,3,3,20,1,1,1,41,2,6,6,1,2
1,2,1,2,2,0,1,1,1,1,2,1,2,1,1,2,1,2,2,40,2,1,6,4,4
1,2,1,1,1,0,0,1,0,1,4,1,2,1,1,75,1,2,2,39,2,2,4,2,3
1,2,1,2,1,1,1,1,0,1,4,2,3,3,3,31,1,1,1,39,2,1,8,2,2
1,1,1,1,1,1,1,1,0,1,6,2,4,1,1,6,1,1,1,38,2,3,8,4,2
1,1,1,1,1,1,1,1,0,1,1,5,1,1,1,6,1,1,2,38,2,1,8,4,3
1,1,1,1,1,0,1,1,0,1,3,1,1,3,1,5,1,2,1,38,2,2,6,1,2
1,2,1,2,1,1,1,1,1,1,2,1,3,3,1,5,1,2,2,38,2,1,8,1,3
1,1,1,1,1,0,0,1,0,1,2,1,2,3,3,1,1,2,2,37,2,1,8,1,4
1,2,1,1,1,1,1,1,0,1,3,2,2,3,3,5,1,2,2,35,2,1,7,1,4
1,1,1,1,1,1,1,1,0,1,6,1,2,3,3,2,1,2,2,35,2,1,7,1,4
1,1,1,1,1,1,1,1,0,1,3,1,1,1,1,6,1,2,2,34,2,1,6,4,1
1,1,1,1,1,0,1,1,0,1,4,1,3,3,1,3,2,2,1,34,2,2,8,1,4
1,2,1,2,1,0,1,1,1,1,1,1,1,1,1,8,1,2,2,33,2,1,8,1,4
1,1,1,1,1,0,0,0,0,1,3,1,4,1,1,8,1,2,1,33,2,1,8,1,2
1,1,1,2,1,0,1,1,0,1,4,1,3,3,3,10,1,2,1,32,2,2,6,1,1
1,1,1,2,1,1,0,1,0,1,4,2,3,3,1,6,1,2,1,32,2,1,6,1,5
1,1,1,1,1,1,1,1,0,1,2,1,1,3,1,4,1,1,1,32,2,6,4,1,4
1,1,1,1,1,0,1,1,1,1,6,1,1,1,1,97,1,2,1,31,2,6,8,4,2
1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,6,1,1,1,31,2,1,8,4,3
1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,2,2,31,2,6,8,2,2
1,2,1,2,1,1,1,1,0,1,3,2,1,3,1,1,1,2,2,31,2,1,8,1,4
1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,50,2,2,1,30,2,1,7,1,3
1,1,1,2,1,0,1,1,1,1,3,1,1,3,1,30,1,2,1,30,2,3,8,1,2
1,1,1,2,1,1,1,1,1,1,4,2,2,2,3,11,1,2,2,30,2,6,6,2,2
1,2,1,2,1,0,1,1,0,0,2,1,1,3,1,10,1,2,1,30,2,1,8,2,4
1,1,1,1,1,0,1,1,0,1,3,2,2,1,1,6,1,2,2,30,2,6,8,4,2
1,2,1,2,1,1,1,1,0,1,3,1,1,3,3,4,1,2,2,30,2,6,6,1,4
1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,4,1,1,1,30,2,6,6,1,2
1,1,1,2,1,1,0,1,1,1,4,2,3,3,3,52,1,2,1,29,2,2,8,2,2
1,1,1,2,1,0,1,1,1,1,2,5,2,1,1,15,1,1,1,29,2,2,8,1,2
1,1,1,2,1,0,1,1,1,1,4,5,2,1,1,5,1,2,1,29,2,6,6,4,2
1,1,1,2,1,0,0,1,0,1,4,1,3,3,1,5,1,2,1,29,2,2,6,1,2
1,1,1,2,1,1,1,1,0,1,4,1,3,3,1,4,1,1,2,29,2,6,6,1,2
1,1,1,1,1,0,1,1,1,1,4,1,2,1,1,4,1,2,1,29,2,6,8,1,2
1,2,1,2,1,0,1,1,0,1,6,2,3,1,3,3,1,1,2,29,2,6,6,2,3
1,1,1,1,1,0,1,1,1,1,3,2,1,3,1,2,1,2,2,29,2,1,8,4,1
1,1,1,2,1,0,0,1,0,1,4,1,1,3,1,30,1,2,1,28,2,2,8,1,2
1,2,1,2,1,0,1,1,1,1,1,5,4,1,3,25,1,2,2,28,2,2,7,4,2
1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,24,1,2,1,28,2,6,6,1,2
1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,15,1,2,1,28,2,2,6,1,2
1,1,1,1,1,0,1,1,0,1,6,1,3,1,1,3,1,1,1,28,2,6,8,1,2
1,1,1,1,1,0,1,1,0,0,5,5,5,1,1,2,1,2,1,28,2,6,8,1,4
1,2,1,2,1,0,1,1,0,1,4,1,2,1,1,2,2,2,1,28,2,2,8,4,2
1,1,1,2,1,0,1,1,0,1,6,1,3,1,1,35,1,1,1,27,2,6,7,4,2
1,1,1,2,1,0,1,1,1,1,1,3,2,3,1,12,1,1,1,27,2,6,7,4,2
1,1,1,2,1,1,1,0,1,1,6,1,1,1,1,9,1,1,1,27,2,6,8,4,2
1,1,1,2,1,0,1,1,0,1,4,2,3,3,3,5,1,2,2,27,2,3,6,1,3
1,2,1,2,1,0,1,1,1,1,2,2,1,3,3,3,1,1,2,27,2,2,7,2,2
1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,2,1,2,2,27,2,2,8,4,4
1,1,1,2,1,0,0,1,0,1,4,5,4,1,1,15,1,2,2,26,2,6,8,4,2
1,1,1,2,1,1,0,1,0,1,4,1,2,3,3,10,1,2,1,26,2,6,8,2,5
1,1,1,2,1,0,1,1,1,1,2,1,3,3,3,2,1,2,2,26,2,6,6,1,2
1,1,1,2,1,1,0,1,1,1,1,1,2,1,1,25,1,2,1,25,2,6,7,4,2
1,1,1,2,1,1,1,1,0,1,2,1,1,1,1,20,1,2,2,25,2,6,7,2,2
1,1,1,2,1,0,1,1,0,1,6,2,3,1,1,10,2,1,1,25,2,6,8,1,2
1,2,1,1,1,0,1,1,0,1,2,1,3,1,1,10,1,1,1,25,2,2,6,1,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,25,2,6,4,1,2
1,2,1,2,1,0,1,1,0,1,4,1,3,1,1,10,1,1,1,24,2,6,7,4,3
1,1,1,2,1,0,1,1,0,1,6,2,3,3,1,6,2,2,1,24,2,1,8,4,2
1,2,1,1,1,0,1,1,1,1,2,1,2,1,1,6,1,2,1,24,2,2,6,1,2
1,2,1,1,1,0,1,1,1,1,6,1,2,3,2,5,1,1,1,24,2,6,8,1,2
1,1,1,2,1,1,1,1,0,1,6,1,2,1,1,4,1,1,1,24,2,2,3,4,5
1,1,1,2,1,1,1,1,1,1,4,1,2,1,1,4,1,1,1,24,2,2,7,4,4
1,1,1,2,1,1,1,1,1,1,3,1,1,3,3,3,1,2,2,24,2,6,6,1,4
